date;shareprice
2014-06-11;548.299
2014-06-10;551.831
2014-06-09;554.834

2014-06-06;551.037
2014-06-05;548.299
2014-06-04;550.154
2014-06-03;551.037
2014-06-02;553.509

2014-05-30;555.629
2014-05-29;554.481
2014-05-28;555.629
2014-05-27;548.564
2014-05-26;

2014-05-23;542.912
2014-05-22;544.06
2014-05-21;546.18
2014-05-20;548.531
2014-05-19;553.604

2014-05-16;553.254
2014-05-15;546.694
2014-05-14;540.133
2014-05-13;534.448
2014-05-12;530.337

2014-05-09;521.327
2014-05-08;519.403
2014-05-07;521.765
2014-05-06;528.412
2014-05-05;

2014-05-02;529.812
2014-05-01;531.299
2014-04-30;528.412
2014-04-29;534.535
2014-04-28;525.613

2014-04-25;527.013
2014-04-24;536.197
2014-04-23;535.497
2014-04-22;537.859

2014-04-17;540.046
2014-04-16;539.084
2014-04-15;540.483
2014-04-14;543.545

2014-04-11;540.221
2014-04-10;541.183
2014-04-09;535.935
2014-04-08;529.20
2014-04-07;530.249

2014-04-04;535.76
2014-04-03;534.01
2014-04-02;534.623
2014-04-01;536.197
2014-03-31;531.386

2014-03-28;534.448
2014-03-27;532.086
2014-03-26;534.623
2014-03-25;535.06
2014-03-24;530.249

2014-03-21;529.812
2014-03-20;519.753
2014-03-19;517.653
2014-03-18;522.989
2014-03-17;522.202

2014-03-14;523.164
2014-03-13;522.377
2014-03-12;524.126
2014-03-11;529.345
2014-03-10;528.573

2014-03-07;531.921
2014-03-06;537.158
2014-03-05;534.496
2014-03-04;542.309
2014-03-03;534.496

2014-02-28;540.592
2014-02-27;545.914
2014-02-26;538.359
2014-02-25;538.274
2014-02-24;545.742

2014-02-21;561.625
2014-02-20;559.822
2014-02-19;563.685
2014-02-18;563.427
2014-02-17;555.873

2014-02-14;547.717
2014-02-13;547.889
2014-02-12;546.343
2014-02-11;545.485
2014-02-10;535.784

2014-02-07;538.96
2014-02-06;539.218
2014-02-05;535.784
2014-02-04;536.213
2014-02-03;533.552

2014-01-31;538.274
2014-01-30;541.021
2014-01-29;537.673
2014-01-28;544.111
2014-01-27;545.227

2014-01-24;554.499
2014-01-23;565.745
2014-01-22;574.244
2014-01-21;578.537
2014-01-20;577.764

2014-01-17;581.799
2014-01-16;578.537
2014-01-15;584.632
2014-01-14;577.678
2014-01-13;581.198

2014-01-10;579.996
2014-01-09;573.558
2014-01-08;579.052
2014-01-07;580.168
2014-01-06;566.604

2014-01-03;563.513
2014-01-02;566.346
2013-12-31;568.664
2013-12-30;565.831

2013-12-27;568.664
2013-12-24;567.634
2013-12-23;567.291

2013-12-20;559.736
2013-12-19;556.044
2013-12-18;556.56
2013-12-17;555.443
2013-12-16;561.024

2013-12-13;555.014
2013-12-12;555.529
2013-12-11;557.847
2013-12-10;559.822
2013-12-09;564.629

2013-12-06;566.003
2013-12-05;563.513
2013-12-04;566.432
2013-12-03;573.815
2013-12-02;581.456

2013-11-29;585.405
2013-11-28;585.491
2013-11-27;587.379
2013-11-26;589.182
2013-11-25;591.50

2013-11-22;589.182
2013-11-21;595.621
2013-11-20;596.909
2013-11-19;595.106
2013-11-18;596.651

2013-11-15;589.783
2013-11-14;586.263
2013-11-13;586.521
2013-11-12;597.681
2013-11-11;598.368

2013-11-08;596.994
2013-11-07;592.187
2013-11-06;595.363
2013-11-05;599.227
2013-11-04;603.519

2013-11-01;590.041
2013-10-31;585.576
2013-10-30;586.778
2013-10-29;589.526
2013-10-28;586.263

2013-10-25;583.774
2013-10-24;585.662
2013-10-23;582.314
2013-10-22;585.098
2013-10-21;583.396

2013-10-18;577.696
2013-10-17;576.845
2013-10-16;583.481
2013-10-15;584.843
2013-10-14;586.884

2013-10-11;586.714
2013-10-10;577.10
2013-10-09;569.018
2013-10-08;565.359
2013-10-07;572.081

2013-10-04;576.249
2013-10-03;569.613
2013-10-02;567.826
2013-10-01;570.974
2013-09-30;569.528

2013-09-27;576.59
2013-09-26;581.014
2013-09-25;581.95
2013-09-24;583.396
2013-09-23;584.162

2013-09-20;586.374
2013-09-19;594.627
2013-09-18;591.734
2013-09-17;589.522
2013-09-16;598.285

2013-09-13;597.264
2013-09-12;596.584
2013-09-11;594.712
2013-09-10;600.582
2013-09-09;596.499

2013-09-06;602.624
2013-09-05;602.029
2013-09-04;588.331
2013-09-03;585.013
2013-09-02;584.587

2013-08-30;575.143
2013-08-29;584.758
2013-08-28;577.10
2013-08-27;582.63
2013-08-26;

2013-08-23;591.053
2013-08-22;589.182
2013-08-21;580.248
2013-08-20;593.709
2013-08-19;591.432

2013-08-16;597.84
2013-08-15;599.442
2013-08-14;603.573
2013-08-13;604.416
2013-08-12;600.369

2013-08-09;598.43
2013-08-08;588.144
2013-08-07;590.168
2013-08-06;603.657
2013-08-05;608.463

2013-08-02;636.285
2013-08-01;635.863
2013-07-31;630.468
2013-07-30;620.688
2013-07-29;614.112

2013-07-26;616.472
2013-07-25;618.664
2013-07-24;618.074
2013-07-23;616.641
2013-07-22;618.58

2013-07-19;621.784
2013-07-18;624.735
2013-07-17;616.472
2013-07-16;612.257
2013-07-15;615.966

2013-07-12;609.643
2013-07-11;608.041
2013-07-10;608.294
2013-07-09;611.582
2013-07-08;604.837

2013-07-05;600.706
2013-07-04;599.779
2013-07-03;574.064
2013-07-02;585.784
2013-07-01;585.699

2013-06-28;574.992
2013-06-27;575.582
2013-06-26;571.451
2013-06-25;565.381
2013-06-24;552.734

2013-06-21;557.793
2013-06-20;560.238
2013-06-19;580.641
2013-06-18;586.795
2013-06-17;574.57

2013-06-14;573.39
2013-06-13;582.074
2013-06-12;583.507
2013-06-11;584.603
2013-06-10;590.336

2013-06-07;596.912
2013-06-06;590.168
2013-06-05;601.128
2013-06-04;617.062
2013-06-03;605.596

2013-05-31;612.004
2013-05-30;620.435
2013-05-29;613.437
2013-05-28;626.505

2013-05-24;612.088
2013-05-23;625.409
2013-05-22;647.33
