test date coco ed cd sa
35 2016-05-10 64.2662116040956 28.8353517724173 NA 64.0794346168132
36 2016-05-09 65.7952218430034 27.603779933153 NA 60.4350876422985
37 2016-05-06 65.1877133105802 28.3488129322083 NA 62.8780613989689
38 2016-05-05 66.578156996587 30.2024777551562 NA 64.2302668247406
39 2016-05-04 66.6655290102389 30.2408954749991 NA 63.8326756027631
40 2016-05-03 66.2116040955631 33.3890199842012 NA 63.3173531939166
41 2016-05-02 65.7849829351536 33.3890199842012 NA 64.015371134763
42 2016-04-29 65.9317406143345 36.0848460808839 NA 62.374553513307
43 2016-04-28 66.7421590831103 41.2057251715403 NA 63.6431346551355
44 2016-04-27 66.4683222122859 40.9548467659516 NA 66.098237316358
45 2016-04-26 66.7683763027976 41.8877058819173 NA 64.2792278629799
46 2016-04-25 67.3275862068966 38.5565992844831 NA 67.2394951718536
47 2016-04-20 67.5647524477467 40.5517189265524 NA 61.2144476928857
48 2016-04-19 67.5470767948896 36.6345440540449 NA 61.2443157214214
49 2016-04-18 67.6754939050021 34.5759097119221 NA 63.7043617116997
50 2016-04-15 69.473832698547 35.36960183149 NA 60.010105469929
51 2016-04-14 67.7157001414427 35.5489072591856 NA 66.4187709965364
52 2016-04-13 66.8684451326811 34.5033086072229 NA 61.059793334123
53 2016-04-12 66.3358671171171 23.6758261260365 NA 57.8067140716483
54 2016-04-08 66.9927690344534 22.8062095221298 NA 61.0160782917533
55 2016-04-07 67.2271888746985 22.0329272029129 NA 68.2464660288704
56 2016-04-06 67.407354820389 23.5933147156287 NA 58.4622537161579
57 2016-04-05 67.2163730276657 22.5979486384768 NA 65.5987921831978
58 2016-04-01 67.1307719421925 28.4463424023409 NA 66.2442110219441
59 2016-03-31 68.2030296503697 29.184108354076 NA 58.8329843868351
60 2016-03-30 68.3825113073444 30.3936177419561 NA 65.7342812578456
61 2016-03-29 68.2389259817647 28.6410684077803 NA 66.9381421266954
62 2016-03-24 68.9209562782684 30.8686234368923 NA 63.3134737613801
63 2016-03-23 68.7342953550147 34.5033086072229 NA 64.8521060890025
64 2016-03-22 69.1363342666379 34.430643646019 NA 63.6680965011197
65 2016-03-21 68.6495082202599 34.8293283119387 NA 64.3195882046106
66 2016-03-18 69.0286452724532 34.7569498762048 NA 64.9186842660355
67 2016-03-17 69.100437935243 34.9016432718131 NA 65.1868112276622
68 2016-03-16 68.3802857347979 37.7410156022692 NA 62.735459285667
69 2016-03-15 69.4594012491923 36.2449101893975 NA 64.1999705824894
70 2016-03-14 70.0409218177902 36.1025660992724 NA 62.0668934927701
71 2016-03-11 70.9849953334769 35.674406600856 NA 62.4025382616496
72 2016-03-10 71.0316605642903 33.554398082857 NA 66.5889342498159
73 2016-03-09 68.2030296503697 35.2798021964361 NA 65.2374672196273
74 2016-03-08 68.2008040778232 34.7569498762048 NA 67.0605795146177
75 2016-03-07 68.6517337928064 35.3155877892613 NA 63.7446969368902
76 2016-03-04 69.0106971067557 36.4576026950753 NA 63.0929246320024
77 2016-03-03 69.100437935243 35.36960183149 NA 65.971445942087
78 2016-03-02 68.9209562782684 37.5554565108524 NA 56.8829850331564
79 2016-03-01 67.3199798980544 33.8681951118151 NA 67.8766977466509
80 2016-02-29 66.0492497666738 33.4065813513892 NA 65.0717358705813
81 2016-02-26 66.1881402395037 36.1040124620158 NA 66.4134917999286
82 2016-02-25 64.8792028102373 29.4508123023058 NA 67.7867239709234
83 2016-02-24 64.9583692219351 23.6620098168576 NA 62.528369246066
84 2016-02-23 65.9340659340659 26.6048447415313 NA 60.6531004192506
85 2016-02-22 65.7941280509374 28.361505982069 NA 59.5054534336218
86 2016-02-19 65.8839198093369 29.841900791326 NA 62.723338777775
87 2016-02-18 65.6062926353891 29.469606923405 NA 65.4168401222544
88 2016-02-17 65.6874388710354 32.4393241177038 NA 61.8767500244571
89 2016-02-16 64.5837701824282 29.226523054937 NA 67.095445661791
90 2016-02-12 59.3097247198783 26.2568184744993 NA 68.8703811551888
91 2016-02-11 61.1707655005196 18.0399096618703 NA 63.3151759454174
92 2016-02-10 63.1051175656985 26.6432931667579 NA 63.0260949445193
93 2016-02-09 62.4827395747031 23.1412726744004 NA 61.2360581759164
94 2016-02-08 62.9871937639198 25.498344328052 NA 60.1469399827544
95 2016-02-05 65.1671039911614 32.7629910939408 NA 64.4158356306369
96 2016-02-04 64.6522156674441 33.353138430111 NA 61.9947782457832
97 2016-02-03 65.6181469298246 29.6932570298813 NA 59.5990120324475
98 2016-02-02 67.2996661101836 36.1900250607921 NA 67.7153425740076
99 2016-02-01 67.1724906028122 41.7762468895172 NA 63.8618210569581
100 2016-01-29 68.0178332276027 44.2735842449112 NA 63.6312729846498
101 2016-01-28 67.4172921879344 39.5783812135043 NA 65.1591067450712
102 2016-01-27 67.6988357413382 40.3831734295595 NA 64.5072177282584
103 2016-01-26 68.7832460732984 38.5316861892119 NA 69.3780624808091
104 2016-01-25 68.164295226747 38.1796256854859 NA 66.1999361134001
