date coco ed cd
2016-02-11 61.1707655005196 39.7767108920884 42.3336337590151
2016-02-10 63.1051175656985 47.3547986429519 55.7102397013101
2016-02-09 62.4827395747031 44.270068192742 50.1495882613738
2016-02-08 62.9871937639198 46.3462692413053 53.8897712458637
2016-02-05 65.1671039911614 52.7455006359187 65.1104244521529
2016-02-04 64.6522156674441 53.2653628102436 65.9598422695205
2016-02-03 65.6181469298246 50.0414076535334 60.4997433242264
2016-02-02 67.2996661101836 55.7644215476618 69.824596205237
2016-02-01 67.1724906028122 60.6856111571126 76.1025935980155
2016-01-29 68.0178332276027 62.8857345131769 78.2481196808656
2016-01-28 67.4172921879344 58.7493659670871 73.8673419526529
2016-01-27 67.6988357413382 59.4583556241163 74.72285577561
2016-01-26 68.7832460732984 57.8272781387309 72.6925653760025
2016-01-25 68.164295226747 57.5171319471992 72.2820647116691
