test date coco ed cd
207 2015-08-12 64.4263972374984 80.8036564545145 83.8064727672704
208 2015-08-11 64.5513520457319 84.6047082913403 83.9594098260389
209 2015-08-10 65.1376737004632 86.395174580761 83.9969303305614
210 2015-08-07 65.202637192166 87.3427636365446 84.0110540651152
211 2015-08-06 65.1486809004709 88.0473995253407 84.0195516751634
212 2015-08-05 64.6546200179418 89.1321861075231 84.0299081102321
213 2015-08-04 65.5532760610335 85.8909330322529 83.9879424991336
214 2015-08-03 65.3050771496254 85.6512443443167 83.9832669432153
215 2015-07-31 64.718697936691 85.2232882939917 83.9742187516305
216 2015-07-30 64.3859311935422 84.5237536250675 83.9573087436921
217 2015-07-29 64.5367412140575 84.3616299592347 83.9529810851808
218 2015-07-28 65.7894736842105 83.519113393068 83.9277285751537
219 2015-07-27 64.7579920400565 80.9440845240535 83.8145560986832
220 2015-07-24 66.1399548532731 82.4202734822714 83.8868457575919
221 2015-07-23 65.6072900566718 85.0892314114253 83.9711895374794
222 2015-07-22 65.1749728104408 84.6047082913403 83.9594098260389
223 2015-07-21 65.6654456654457 87.0018142427187 84.0063560212488
224 2015-07-20 66.5597742432016 87.0806080334701 84.0074781894853
225 2015-07-17 65.2465937440031 85.3571494638299 83.9771489514683
226 2015-07-16 66.2198563365829 85.7312103099083 83.9848570459592
227 2015-07-15 65.093493852459 83.4918160845244 83.9268277206057
228 2015-07-14 65.1470777135517 83.3275680679578 83.9212905549916
229 2015-07-13 66.5013525698828 84.0090859972679 83.9429966601001
230 2015-07-10 65.4500902759866 81.3920304864933 83.8388610994444
231 2015-07-09 65.3473711574706 80.9160159115926 83.8129585728545
232 2015-07-08 65.2563016999935 79.5580349637538 83.7240839013144
233 2015-07-07 66.2332187560802 79.3869613516702 83.7111436054363
234 2015-07-06 65.2159979489809 82.06021141045 83.8712046362377
235 2015-07-02 65.0432553668696 84.7666933647974 83.9634972950361
236 2015-07-01 64.8467984391991 82.8339477053754 83.9033931682736
237 2015-06-30 64.2126009282218 82.6134138247562 83.8947548414501
238 2015-06-29 64.9453760162602 84.5237536250675 83.9573087436921
239 2015-06-26 65.0073113357493 87.9171458348773 84.0180957605577
240 2015-06-25 65.186975324345 89.055149067773 84.0292680001923
241 2015-06-24 65.2830788804071 91.0630791641959 84.0421941783959
242 2015-06-23 65.2222010299447 90.7358401013909 84.0405545748323
243 2015-06-22 64.4952272583602 91.0128117335569 84.041952290135
244 2015-06-19 63.6250314782171 88.151245258667 84.0206773058954
245 2015-06-18 63.598010200869 87.3165819556812 84.0107075918381
